sample_id	transcript_1	transcript_2	shared_reads	total_reads_tx1	total_reads_tx2	sharing_fraction	recommendation
SAMEA117622252	transcript1109.chr2.nnic	ENST00000335606.11	6	8	6	1	consider_merging
SAMEA117622252	ENST00000370372.7	ENST00000398020.6	2	2	2	1	consider_merging
SAMEA117622252	ENST00000251166.9	ENST00000264710.5	1	1	2	1	consider_merging
SAMEA117622252	transcript154.chr20.nnic	transcript157.chr4.nnic	1	2	1	1	consider_merging
SAMEA117622252	ENST00000498700.5	transcript237.chr7.nic	6	6	8	1	consider_merging
SAMEA117622252	transcript1363.chr2.nnic	ENST00000399933.8	1	1	1	1	consider_merging
SAMEA117622252	ENST00000482111.1	transcript1151.chr11.nnic	13	13	155	1	consider_merging
SAMEA117622252	transcript2136.chr6.nnic	ENST00000678563.1	3	3	3	1	consider_merging
SAMEA117622252	ENST00000258787.12	transcript1215.chr11.nnic	15	15	15	1	consider_merging
SAMEA117622252	ENST00000263461.11	transcript867.chr10.nnic	6	6	13	1	consider_merging
SAMEA117622252	ENST00000374343.5	ENST00000356245.8	1	2	1	1	consider_merging
SAMEA117622252	transcript792.chr14.nnic	transcript685.chr19.nnic	9	9	9	1	consider_merging
SAMEA117622252	ENST00000237889.9	ENST00000399075.6	2	2	4	1	consider_merging
SAMEA117622252	transcript378.chr8.nnic	transcript424.chr16.nic	4	4	8	1	consider_merging
SAMEA117622252	transcript1213.chr1.nic	ENST00000375898.4	1	1	1	1	consider_merging
SAMEA117622252	ENST00000376073.8	ENST00000397124.5	1	1	1	1	consider_merging
SAMEA117622252	transcript194.chr5.nnic	ENST00000360642.7	286	286	287	1	consider_merging
SAMEA117622252	ENST00000413042.3	ENST00000413140.5	1	1	2	1	consider_merging
SAMEA117622252	ENST00000394852.8	ENST00000368347.8	1	1	1	1	consider_merging
SAMEA117622252	ENST00000404816.7	ENST00000405303.7	1	1	1	1	consider_merging
SAMEA117622252	ENST00000319449.9	ENST00000414009.2	1	1	1	1	consider_merging
SAMEA117622252	transcript40.chr3.nic	ENST00000374606.10	1	10	1	1	consider_merging
SAMEA117622252	ENST00000645674.2	ENST00000373840.9	1	1	2	1	consider_merging
SAMEA117622252	ENST00000374514.8	ENST00000328268.9	1	1	1	1	consider_merging
SAMEA117622252	ENST00000441259.2	ENST00000394990.8	1	1	1	1	consider_merging
SAMEA117622252	ENST00000398148.7	ENST00000378386.8	1	4	1	1	consider_merging
SAMEA117622252	ENST00000395726.8	ENST00000395787.4	1	1	1	1	consider_merging
SAMEA117622252	ENST00000324379.10	ENST00000395841.7	1	1	1	1	consider_merging
SAMEA117622252	ENST00000337917.11	ENST00000301466.8	1	1	1	1	consider_merging
SAMEA117622252	ENST00000257787.6	ENST00000258169.9	6	6	6	1	consider_merging
SAMEA117622252	transcript266.chr8.nnic	transcript498.chrX.nic	1	1	1	1	consider_merging
SAMEA117622252	ENST00000576892.8	transcript42.chr18.nnic	12	12	12	1	consider_merging
SAMEA117622252	transcript15.chr21.nnic	ENST00000572851.6	3	32	3	1	consider_merging
SAMEA117622252	ENST00000368174.5	ENST00000418507.6	7	8	7	1	consider_merging
SAMEA117622252	ENST00000368211.8	ENST00000418533.6	1	1	2	1	consider_merging
SAMEA117622252	transcript293.chr8.nnic	ENST00000325324.11	1	1	1	1	consider_merging
SAMEA117622252	ENST00000368453.8	ENST00000377673.10	1	1	1	1	consider_merging
SAMEA117622252	ENST00000485386.1	ENST00000370377.8	1	2	1	1	consider_merging
SAMEA117622252	ENST00000373925.5	ENST00000370792.7	1	1	1	1	consider_merging
SAMEA117622252	transcript227.chr17.nic	ENST00000367261.8	2	2	5	1	consider_merging
SAMEA117622252	ENST00000396014.8	ENST00000396020.7	1	2	1	1	consider_merging
SAMEA117622252	ENST00000357052.8	transcript257.chr13.nnic	2	2	2	1	consider_merging
SAMEA117622252	ENST00000445560.6	transcript359.chr13.nic	1	1	2	1	consider_merging
SAMEA117622252	ENST00000366514.5	ENST00000366647.9	1	1	1	1	consider_merging
SAMEA117622252	ENST00000397062.8	ENST00000397080.8	1	1	1	1	consider_merging
SAMEA117622252	ENST00000259632.12	transcript383.chr5.nnic	7	7	9	1	consider_merging
SAMEA117622252	transcript820.chr14.nnic	ENST00000493053.5	21	21	21	1	consider_merging
SAMEA117622252	ENST00000375856.5	ENST00000413697.5	1	1	1	1	consider_merging
SAMEA117622252	ENST00000333511.9	ENST00000409785.9	6	7	6	1	consider_merging
SAMEA117622252	ENST00000378853.3	ENST00000333511.9	1	1	7	1	consider_merging
SAMEA117622252	ENST00000419277.5	ENST00000008938.5	2	2	2	1	consider_merging
SAMEA117622252	ENST00000299157.5	ENST00000358465.7	1	1	1	1	consider_merging
SAMEA117622252	ENST00000370152.8	ENST00000323563.8	1	1	1	1	consider_merging
SAMEA117622252	ENST00000355151.9	ENST00000392006.8	1	6	1	1	consider_merging
SAMEA117622252	ENST00000366999.9	ENST00000374819.6	1	1	1	1	consider_merging
SAMEA117622252	transcript693.chr1.nic	transcript598.chr1.nnic	3	3	4	1	consider_merging
SAMEA117622252	ENST00000279247.11	ENST00000394520.7	37	37	37	1	consider_merging
SAMEA117622252	ENST00000373464.5	ENST00000374358.5	2	70	2	1	consider_merging
SAMEA117622252	transcript981.chr12.nnic	transcript1327.chr11.nic	1	1	1	1	consider_merging
SAMEA117622252	ENST00000372836.5	transcript799.chr16.nnic	1	1	2	1	consider_merging
SAMEA117622252	ENST00000216452.9	ENST00000217402.3	605	605	633	1	consider_merging
SAMEA117622252	ENST00000637561.1	ENST00000242257.14	7	7	7	1	consider_merging
SAMEA117622252	ENST00000306185.8	ENST00000393700.8	1	37	1	1	consider_merging
SAMEA117622252	ENST00000372330.3	ENST00000245157.11	15	15	15	1	consider_merging
SAMEA117622252	ENST00000422514.7	ENST00000231009.3	6	9	6	1	consider_merging
SAMEA117622252	ENST00000396198.7	ENST00000246117.9	3	3	6	1	consider_merging
SAMEA117622252	ENST00000338758.12	ENST00000341285.8	1	1	1	1	consider_merging
SAMEA117622252	ENST00000356205.9	ENST00000356401.9	2	2	2	1	consider_merging
SAMEA117622252	ENST00000567572.6	ENST00000377213.1	2	2	2	1	consider_merging
SAMEA117622252	transcript1060.chr7.nnic	transcript248.chr19.nnic	1	16	1	1	consider_merging
SAMEA117622252	ENST00000495531.1	transcript1315.chr17.nnic	3	14	3	1	consider_merging
SAMEA117622252	ENST00000376237.8	ENST00000390667.11	1	1	1	1	consider_merging
SAMEA117622252	ENST00000382374.9	ENST00000267082.10	1	8	1	1	consider_merging
SAMEA117622252	ENST00000368759.5	ENST00000409573.7	11	11	11	1	consider_merging
SAMEA117622252	ENST00000262306.11	ENST00000264350.8	78	80	78	1	consider_merging
SAMEA117622252	ENST00000383329.7	ENST00000373144.7	1	1	1	1	consider_merging
SAMEA117622252	transcript144.chr3.nnic	ENST00000360472.9	4	4	4	1	consider_merging
SAMEA117622252	ENST00000264414.9	ENST00000265742.8	2	5	2	1	consider_merging
SAMEA117622252	ENST00000334351.8	ENST00000266077.5	5	5	5	1	consider_merging
SAMEA117622252	ENST00000269980.7	ENST00000266000.10	1	1	1	1	consider_merging
SAMEA117622252	ENST00000309311.7	ENST00000373943.9	1	1	1	1	consider_merging
SAMEA117622252	ENST00000264827.9	ENST00000373394.8	1	1	1	1	consider_merging
SAMEA117622252	ENST00000280571.10	ENST00000266970.9	1	1	1	1	consider_merging
SAMEA117622252	ENST00000376227.4	ENST00000296464.9	1	1	7	1	consider_merging
SAMEA117622252	ENST00000380605.3	ENST00000381571.6	18	18	18	1	consider_merging
SAMEA117622252	ENST00000393085.4	ENST00000271883.9	1	1	1	1	consider_merging
SAMEA117622252	ENST00000340042.2	ENST00000267814.14	2	3	2	1	consider_merging
SAMEA117622252	ENST00000264552.14	ENST00000216756.11	2	2	2	1	consider_merging
SAMEA117622252	transcript309.chr17.nic	transcript97.chr3.nnic	79	79	143	1	consider_merging
SAMEA117622252	transcript1122.chr3.nnic	ENST00000324170.7	7	12	7	1	consider_merging
SAMEA117622252	ENST00000261303.13	ENST00000614830.5	2	2	2	1	consider_merging
SAMEA117622252	transcript271.chr8.nic	ENST00000331299.6	1	6	1	1	consider_merging
SAMEA117622252	ENST00000576008.5	ENST00000379170.9	2	2	4	1	consider_merging
SAMEA117622252	ENST00000376566.8	ENST00000412795.5	1	2	1	1	consider_merging
SAMEA117622252	ENST00000290158.9	ENST00000589591.5	3	3	10	1	consider_merging
SAMEA117622252	ENST00000401030.4	ENST00000401466.5	1	1	1	1	consider_merging
SAMEA117622252	ENST00000452404.6	transcript400.chr8.nnic	1	1	1	1	consider_merging
SAMEA117622252	ENST00000374767.5	ENST00000276055.4	1	4	1	1	consider_merging
SAMEA117622252	ENST00000262109.8	ENST00000264065.12	10	39	10	1	consider_merging
SAMEA117622252	ENST00000263867.9	ENST00000347343.6	3	3	4	1	consider_merging
SAMEA117622252	transcript363.chr9.nnic	transcript582.chr3.nic	1	1	1	1	consider_merging
SAMEA117622252	ENST00000400299.6	ENST00000400968.7	1	1	2	1	consider_merging
SAMEA117622252	ENST00000238618.8	ENST00000218652.12	1	1	2	1	consider_merging
SAMEA117622252	transcript173.chr12.nnic	ENST00000316097.13	2	2	4	1	consider_merging
SAMEA117622252	ENST00000379031.10	ENST00000400151.6	1	1	1	1	consider_merging
SAMEA117622252	ENST00000331442.5	ENST00000304332.8	13	13	13	1	consider_merging
SAMEA117622252	ENST00000400770.6	ENST00000301785.7	4	4	4	1	consider_merging
SAMEA117622252	ENST00000373703.5	ENST00000302271.11	38	39	38	1	consider_merging
SAMEA117622252	ENST00000311862.10	ENST00000314028.11	2	2	12	1	consider_merging
SAMEA117622252	ENST00000361138.7	ENST00000366610.8	4	6	4	1	consider_merging
SAMEA117622252	ENST00000296127.7	ENST00000373758.5	13	15	13	1	consider_merging
SAMEA117622252	transcript813.chr11.nnic	ENST00000316562.9	2	2	2	1	consider_merging
SAMEA117622252	ENST00000335125.11	ENST00000296277.9	1	11	1	1	consider_merging
SAMEA117622252	ENST00000307363.10	ENST00000393909.7	5	5	6	1	consider_merging
SAMEA117622252	ENST00000361624.2	ENST00000340020.11	18	18	18	1	consider_merging
SAMEA117622252	ENST00000319017.5	ENST00000334651.11	2	55	2	1	consider_merging
SAMEA117622252	ENST00000262061.7	ENST00000320095.12	3	3	3	1	consider_merging
SAMEA117622252	transcript147.chrX.nnic	ENST00000368655.5	1	1	1	1	consider_merging
SAMEA117622252	ENST00000312184.6	ENST00000368851.10	1	1	1	1	consider_merging
SAMEA117622252	transcript364.chr2.nnic	ENST00000229214.9	2	2	2	1	consider_merging
SAMEA117622252	ENST00000651435.1	ENST00000391947.6	6	6	6	1	consider_merging
SAMEA117622252	ENST00000429437.5	ENST00000317968.9	1	1	10	1	consider_merging
SAMEA117622252	ENST00000686500.3	ENST00000319357.6	8	8	8	1	consider_merging
SAMEA117622252	transcript1032.chr3.nnic	transcript236.chr22.nic	3	3	11	1	consider_merging
SAMEA117622252	ENST00000251636.10	ENST00000379887.9	1	1	2	1	consider_merging
SAMEA117622252	ENST00000378302.7	ENST00000378595.7	4	8	4	1	consider_merging
SAMEA117622252	ENST00000378302.7	ENST00000412367.6	1	8	1	1	consider_merging
SAMEA117622252	ENST00000690048.2	transcript235.chr4.nnic	4	4	4	1	consider_merging
SAMEA117622252	ENST00000543165.1	ENST00000680374.1	3	9	3	1	consider_merging
SAMEA117622252	ENST00000394903.6	ENST00000394950.7	1	1	1	1	consider_merging
SAMEA117622252	transcript114.chr6.nnic	ENST00000402802.8	1	1	1	1	consider_merging
SAMEA117622252	ENST00000323699.9	transcript1385.chr19.nnic	1	1	1	1	consider_merging
SAMEA117622252	transcript492.chr20.nic	ENST00000412051.5	1	1	1	1	consider_merging
SAMEA117622252	ENST00000315691.8	ENST00000376980.8	12	40	12	1	consider_merging
SAMEA117622252	transcript32.chr18.nic	ENST00000370435.5	2	2	2	1	consider_merging
SAMEA117622252	ENST00000245615.6	transcript73.chr4.nnic	1	1	1	1	consider_merging
SAMEA117622252	ENST00000587708.7	transcript891.chr7.nnic	1	1	1	1	consider_merging
SAMEA117622252	transcript380.chr3.nnic	ENST00000368685.6	3	3	3	1	consider_merging
SAMEA117622252	ENST00000358246.5	ENST00000357635.10	1	1	2	1	consider_merging
SAMEA117622252	ENST00000816358.1	ENST00000358402.8	1	1	1	1	consider_merging
SAMEA117622252	ENST00000284320.6	ENST00000284818.7	6831	30221	6834	0.999561018437226	consider_merging
SAMEA117622252	transcript106.chr17.nic	ENST00000380201.2	10482	64954	10495	0.998761314911863	consider_merging
SAMEA117622252	ENST00000380201.2	ENST00000445140.6	10482	10495	67525	0.998761314911863	consider_merging
SAMEA117622252	ENST00000310092.12	ENST00000372457.9	1904	1909	2021	0.99738082765846	consider_merging
SAMEA117622252	transcript585.chrX.nnic	ENST00000372734.5	208	218	209	0.995215311004785	consider_merging
SAMEA117622252	transcript1263.chr1.nnic	ENST00000491939.6	2538	2553	3078	0.994124559341951	consider_merging
SAMEA117622252	ENST00000490466.2	ENST00000370994.8	140	141	141	0.99290780141844	consider_merging
SAMEA117622252	transcript106.chr17.nic	ENST00000445140.6	64326	64954	67525	0.990331619299812	consider_merging
SAMEA117622252	ENST00000591462.6	ENST00000368467.4	235	239	238	0.987394957983193	consider_merging
SAMEA117622252	ENST00000230895.11	ENST00000533723.1	740	76036	750	0.986666666666667	consider_merging
SAMEA117622252	ENST00000009530.13	ENST00000537505.6	1086	102257	1101	0.986376021798365	consider_merging
SAMEA117622252	ENST00000396651.8	ENST00000323249.8	579	592	587	0.986371379897785	consider_merging
SAMEA117622252	ENST00000301329.11	ENST00000301458.10	357	362	483	0.986187845303867	consider_merging
SAMEA117622252	ENST00000301329.11	transcript952.chr2.nnic	357	362	665	0.986187845303867	consider_merging
SAMEA117622252	ENST00000301329.11	ENST00000393119.7	357	362	5093	0.986187845303867	consider_merging
SAMEA117622252	ENST00000367066.8	ENST00000524726.1	4363	4430	4707	0.984875846501129	consider_merging
SAMEA117622252	ENST00000317697.8	ENST00000378312.8	51	52	62	0.980769230769231	consider_merging
SAMEA117622252	transcript1166.chr19.nnic	transcript2310.chr6.nic	213	226	218	0.977064220183486	consider_merging
SAMEA117622252	ENST00000321348.9	ENST00000380839.9	247	4558	253	0.976284584980237	consider_merging
SAMEA117622252	ENST00000289371.11	ENST00000293825.11	39	40	301	0.975	consider_merging
SAMEA117622252	ENST00000392594.7	ENST00000285518.11	1250	1356	1286	0.972006220839813	consider_merging
SAMEA117622252	transcript1102.chr3.nic	ENST00000376344.8	34	565	35	0.971428571428571	consider_merging
SAMEA117622252	ENST00000376344.8	ENST00000376693.3	34	35	37	0.971428571428571	consider_merging
SAMEA117622252	ENST00000284320.6	transcript850.chr7.nnic	4803	30221	4967	0.966982081739481	consider_merging
SAMEA117622252	ENST00000284818.7	transcript850.chr7.nnic	4803	6834	4967	0.966982081739481	consider_merging
SAMEA117622252	ENST00000216500.9	ENST00000308158.10	29	30	57	0.966666666666667	consider_merging
SAMEA117622252	ENST00000381209.8	ENST00000263697.6	80	829	83	0.963855421686747	consider_merging
SAMEA117622252	ENST00000266544.10	ENST00000372431.8	21	35	22	0.954545454545455	consider_merging
SAMEA117622252	ENST00000236957.9	ENST00000649386.2	73	903	77	0.948051948051948	consider_merging
SAMEA117622252	ENST00000301329.11	ENST00000301729.9	343	362	29996	0.947513812154696	consider_merging
SAMEA117622252	transcript1102.chr3.nic	ENST00000376693.3	35	565	37	0.945945945945946	consider_merging
SAMEA117622252	ENST00000393812.4	transcript1184.chr17.nnic	15	17	16	0.9375	consider_merging
SAMEA117622252	transcript1184.chr17.nnic	ENST00000596731.7	15	16	18	0.9375	consider_merging
SAMEA117622252	ENST00000596358.6	ENST00000313543.5	15	16	355	0.9375	consider_merging
SAMEA117622252	ENST00000596358.6	ENST00000260363.9	15	16	16	0.9375	consider_merging
SAMEA117622252	ENST00000313543.5	ENST00000260363.9	15	355	16	0.9375	consider_merging
SAMEA117622252	transcript698.chr4.nnic	transcript878.chr12.nic	15	21	16	0.9375	consider_merging
SAMEA117622252	ENST00000244496.6	ENST00000679149.1	14	16	15	0.933333333333333	consider_merging
SAMEA117622252	ENST00000299335.8	ENST00000360943.10	13	14	15	0.928571428571429	consider_merging
SAMEA117622252	ENST00000320936.9	ENST00000258821.8	13	58	14	0.928571428571429	consider_merging
SAMEA117622252	transcript698.chr4.nnic	transcript918.chr8.nic	13	21	14	0.928571428571429	consider_merging
SAMEA117622252	transcript878.chr12.nic	transcript918.chr8.nic	13	16	14	0.928571428571429	consider_merging
SAMEA117622252	ENST00000301329.11	ENST00000356232.10	336	362	579	0.92817679558011	consider_merging
SAMEA117622252	ENST00000326631.7	ENST00000374881.3	12	13	29	0.923076923076923	consider_merging
SAMEA117622252	ENST00000284320.6	ENST00000372838.9	184	30221	200	0.92	consider_merging
SAMEA117622252	ENST00000284818.7	ENST00000372838.9	184	6834	200	0.92	consider_merging
SAMEA117622252	ENST00000301329.11	ENST00000392088.6	333	362	3071	0.919889502762431	consider_merging
SAMEA117622252	ENST00000372838.9	transcript601.chr14.nnic	183	200	240	0.915	consider_merging
SAMEA117622252	ENST00000372838.9	transcript850.chr7.nnic	183	200	4967	0.915	consider_merging
SAMEA117622252	ENST00000301458.10	transcript952.chr2.nnic	441	483	665	0.91304347826087	consider_merging
SAMEA117622252	ENST00000354545.8	ENST00000360525.9	383	420	149102	0.911904761904762	consider_merging
SAMEA117622252	ENST00000321348.9	ENST00000380860.8	51	4558	56	0.910714285714286	consider_merging
SAMEA117622252	ENST00000395238.5	transcript28.chrY.nnic	10	13	11	0.909090909090909	consider_merging
SAMEA117622252	transcript668.chr3.nnic	transcript686.chr10.nic	10	23	11	0.909090909090909	consider_merging
SAMEA117622252	ENST00000361745.10	ENST00000263401.10	10	296	11	0.909090909090909	consider_merging
SAMEA117622252	ENST00000401507.7	ENST00000263401.10	10	20	11	0.909090909090909	consider_merging
SAMEA117622252	ENST00000645668.2	ENST00000370693.5	10	13	11	0.909090909090909	consider_merging
SAMEA117622252	ENST00000379666.7	transcript301.chr4.nnic	86	311	95	0.905263157894737	consider_merging
SAMEA117622252	ENST00000354545.8	ENST00000505747.6	143	420	158	0.905063291139241	consider_merging
SAMEA117622252	ENST00000360525.9	ENST00000505747.6	143	149102	158	0.905063291139241	consider_merging
SAMEA117622252	transcript454.chr7.nnic	ENST00000380647.8	19	21	21	0.904761904761905	consider_merging
SAMEA117622252	ENST00000677123.1	ENST00000455239.1	19	100	21	0.904761904761905	consider_merging
SAMEA117622252	ENST00000266544.10	ENST00000504148.3	19	35	21	0.904761904761905	consider_merging
SAMEA117622252	ENST00000278618.9	ENST00000504148.3	19	24	21	0.904761904761905	consider_merging
SAMEA117622252	ENST00000372431.8	ENST00000504148.3	19	22	21	0.904761904761905	consider_merging
SAMEA117622252	ENST00000322989.8	ENST00000262213.7	28	160	31	0.903225806451613	consider_merging
SAMEA117622252	transcript408.chr19.nic	ENST00000308580.12	9	39	10	0.9	consider_merging
SAMEA117622252	ENST00000289371.11	ENST00000373008.7	17	40	19	0.894736842105263	ambiguous_quantification
SAMEA117622252	ENST00000293825.11	ENST00000373008.7	17	301	19	0.894736842105263	ambiguous_quantification
SAMEA117622252	transcript1309.chr19.nnic	ENST00000489288.7	32	36	618	0.888888888888889	ambiguous_quantification
SAMEA117622252	ENST00000490466.2	ENST00000372409.8	8	141	9	0.888888888888889	ambiguous_quantification
SAMEA117622252	ENST00000370994.8	ENST00000372409.8	8	141	9	0.888888888888889	ambiguous_quantification
SAMEA117622252	ENST00000372409.8	ENST00000372457.9	8	9	2021	0.888888888888889	ambiguous_quantification
SAMEA117622252	ENST00000309366.9	transcript1139.chr3.nnic	8	9	13	0.888888888888889	ambiguous_quantification
SAMEA117622252	transcript299.chr1.nic	transcript318.chr15.nic	8	9	86	0.888888888888889	ambiguous_quantification
SAMEA117622252	transcript299.chr1.nic	transcript1270.chr1.nic	8	9	22	0.888888888888889	ambiguous_quantification
SAMEA117622252	ENST00000368865.9	ENST00000369144.8	8	9	10	0.888888888888889	ambiguous_quantification
SAMEA117622252	ENST00000302386.10	ENST00000497931.5	8	16	9	0.888888888888889	ambiguous_quantification
SAMEA117622252	transcript646.chr7.nnic	ENST00000370693.5	8	9	11	0.888888888888889	ambiguous_quantification
SAMEA117622252	ENST00000393812.4	ENST00000596731.7	15	17	18	0.882352941176471	ambiguous_quantification
SAMEA117622252	ENST00000321521.13	transcript177.chr21.nnic	7	13	8	0.875	ambiguous_quantification
SAMEA117622252	transcript177.chr21.nnic	transcript266.chr22.nnic	7	8	10	0.875	ambiguous_quantification
SAMEA117622252	ENST00000392133.7	ENST00000504730.5	14	68	16	0.875	ambiguous_quantification
SAMEA117622252	ENST00000271002.15	ENST00000504730.5	14	19	16	0.875	ambiguous_quantification
SAMEA117622252	ENST00000611668.4	ENST00000504730.5	14	40	16	0.875	ambiguous_quantification
SAMEA117622252	ENST00000504730.5	ENST00000504762.1	14	16	22	0.875	ambiguous_quantification
SAMEA117622252	transcript636.chr10.nic	ENST00000360067.8	21	24	1284	0.875	ambiguous_quantification
SAMEA117622252	ENST00000247843.7	transcript216.chr2.nnic	7	8	11	0.875	ambiguous_quantification
SAMEA117622252	ENST00000474473.1	ENST00000248098.8	7	813	8	0.875	ambiguous_quantification
SAMEA117622252	transcript988.chr17.nnic	ENST00000248098.8	7	28	8	0.875	ambiguous_quantification
